Tile,Height,East,North
 LBA1   ,372.921    ,-1999.810  ,206.850
 LBA2   ,374.440    ,-1770.140  ,53.590
 LBA3   ,375.535    ,-1600.210  ,-64.260
 LBA4   ,376.218    ,-1473.170  ,-194.320
 LBA5   ,374.906    ,-1367.270  ,-453.650
 LBA6   ,374.774    ,-1172.920  ,-569.740
 LBA7   ,374.122    ,-1100.970  ,-698.660
 LBA8   ,374.406    ,-889.290   ,-779.730
 LBB1   ,369.515    ,-829.330   ,2563.460
 LBB2   ,373.367    ,-330.610   ,2829.620
 LBB3   ,370.946    ,-455.360   ,2039.450
 LBB4   ,373.959    ,-175.090   ,2644.300
 LBB5   ,373.188    ,-52.550    ,2142.930
 LBB6   ,377.701    ,776.550    ,2535.700
 LBB7   ,376.345    ,520.820    ,2352.170
 LBB8   ,374.381    ,327.910    ,1962.280
 LBC1   ,374.634    ,363.950    ,1536.780
 LBC2   ,377.049    ,875.570    ,2181.300
 LBC3   ,376.532    ,879.780    ,1687.730
 LBC4   ,380.610    ,1360.970   ,2458.850
 LBC5   ,380.989    ,1683.510   ,2153.350
 LBC6   ,378.974    ,1371.370   ,1863.800
 LBC7   ,376.743    ,1631.270   ,1497.800
 LBC8   ,376.459    ,1224.700   ,1387.350
 LBD1   ,375.325    ,1907.590   ,1247.360
 LBD2   ,378.581    ,2054.930   ,1775.430
 LBD3   ,380.840    ,2400.040   ,2214.240
 LBD4   ,377.353    ,2441.550   ,1785.700
 LBD5   ,375.661    ,2346.290   ,1367.780
 LBD6   ,378.428    ,2770.820   ,1905.800
 LBD7   ,376.795    ,3105.640   ,1640.330
 LBD8   ,376.452    ,2872.280   ,1455.110
 LBE1   ,372.223    ,1654.370   ,845.050
 LBE2   ,373.703    ,1994.470   ,629.740
 LBE3   ,374.519    ,2327.420   ,1026.380
 LBE4   ,371.502    ,2238.170   ,408.810
 LBE5   ,373.229    ,2698.580   ,931.590
 LBE6   ,371.787    ,2670.330   ,572.920
 LBE7   ,369.349    ,2405.670   ,23.610
 LBE8   ,373.690    ,3029.460   ,1095.290
 LBF1   ,371.037    ,803.010    ,-812.850
 LBF2   ,369.243    ,1471.780   ,179.530
 LBF3   ,368.310    ,1177.920   ,-691.740
 LBF4   ,366.646    ,1677.270   ,-478.330
 LBF5   ,367.407    ,1559.380   ,-932.270
 LBF6   ,368.260    ,1881.270   ,-106.660
 LBF7   ,367.949    ,2285.480   ,-251.750
 LBF8   ,365.145    ,1991.310   ,-940.610
 LBG1   ,370.300    ,165.760    ,-991.570
 LBG2   ,368.752    ,511.310    ,-1486.980
 LBG3   ,365.986    ,338.490    ,-2065.830
 LBG4   ,367.881    ,805.810    ,-1408.620
 LBG5   ,370.544    ,1105.720   ,-1139.390
 LBG6   ,365.385    ,931.990    ,-1975.870
